Data,Path,Method,Rate,Is_Poisoned,best_node.mean,best_node.sd,c1,c2,cls_coef,density,elite_nn.mean,elite_nn.sd,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,linear_discr.mean,linear_discr.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,t1,t2,t3,t4,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd,worst_node.mean,worst_node.sd
openml_sleuth_ex2015_n60_f7,data/clean_data/openml_sleuth_ex2015_n60_f7.csv,clean,0.0,0,0.6499999999999999,0.1834174891024353,1.0,0.0,0.4848300970873787,0.8774011299435028,0.5333333333333333,0.172132593164774,0.8541942915693295,0.08118472922866,0.2854899413939485,,0.0399775229414565,,0.85,,0.4,,0.7599725936570554,0.306007926414625,0.1233472919591927,,0.2166666666666666,,0.15,,15,4.8,1.65615734242165,0.0666666666666666,0.0654653670707977,118.97142857142856,81.57743642767151,0.5,0.0471404520791031,0.7,0.1892154040658489,0.9608333333333332,0.6,0.5025303827319179,0.0702176319873152,0.45,0.501692052213544,0.25,0.4366668823046865,0.7166666666666667,0.2727319490807461,14,2.0,0.2333333333333333,2.0,0.816496580927726,2.333333333333333,1.2110601416389966,0.4833333333333333,0.1459325059618188,0.4833333333333333,0.0946077020329244,0.8666666666666667,0.1166666666666666,0.1,0.8571428571428571,4.0,1.889822365046136,0.1330744897890706,0.128632303412656,0.2072916666666666,0.1512845696670524,0.1428571428571428,0.140482370256914,0.65,0.2283867199010496
f0080_i024_r051_n0500_sep0.3_1,data/clean_data/f0080_i024_r051_n0500_sep0.3_1.csv,clean,0.0,0,0.6839999999999999,0.0245854518861143,0.890851296603444,0.25701377656311,0.5692839110542467,0.8644569138276553,0.572,0.0551361950083608,0.9940749632010052,0.0064408307445434,0.5064945272070543,,6.864005740739524e-10,,0.916,,0.0,,0.7598598494520227,0.1885713046285993,0.172427618142015,,0.2219999999999999,,0.2299999999999999,,52,7.288461538461538,2.5231208380094654,0.0192307692307692,0.0370546048497774,3113.658874458873,4826.655178173155,0.5,0.0,0.716,0.050596442562694,0.987192,0.284,0.4716596610333234,0.0350003678852154,0.198,0.3988912489099175,0.256,0.4368588918435397,0.746,0.0673630297550353,51,0.6375,0.102,4.25,2.261335084333227,1.275,0.5541220822628188,0.8,0.0432049379893857,0.69,0.0105409255338945,0.968,0.16,0.044,0.275,6.368932038834951,2.775912820232666,0.0842125781313154,0.1034244328251097,0.0893742487980769,0.0918474289249437,0.0125,0.0177160875277702,0.6759999999999999,0.0497102716861526
hf_techviewer00_aqua20_0_vs_6,data/clean_data/hf_techviewer00_aqua20_0_vs_6_clean.csv,clean,0.0,0,0.9574468085106383,0.0132682886055813,0.20390587550482,0.9341375150784076,0.5301898702106973,0.7624113475177305,0.947872340425532,0.0145778757383648,0.9956556984331352,0.0090712614980758,0.0140713328890685,,0.0,,0.5776595744680851,,0.0,,0.6540184839452773,0.1707756217625259,0.0,,0.0,,0.0159574468085106,,28,8.035714285714286,3.6156259932066153,0.0357142857142857,0.1487371823270437,4929.133355533355,8889.248761875922,0.5,0.0,0.922340425531915,0.0391839960186135,0.932873472159348,0.0670212765957446,0.4231666709377834,0.0552282392990825,0.0382978723404255,0.1920165855116405,0.0446808510638297,0.2067121911846648,0.8329787234042552,0.0567486691307936,27,0.052734375,0.0287234042553191,1.9285714285714288,0.7300459115473716,1.0384615384615383,0.196116135138184,0.9648936170212769,0.0071803038054313,0.9680851063829788,1.1702778228589004e-16,0.4393617021276595,0.5446808510638298,0.102127659574468,0.1875,7.2,3.683798361795929,0.0666409702472199,0.1104167370060314,0.1076790945870535,0.155725032886505,0.001953125,0.0105214185044153,0.9680851063829788,1.1702778228589004e-16
f0040_i016_r021_n1100_sep1.0_1,data/clean_data/f0040_i016_r021_n1100_sep1.0_1.csv,clean,0.0,0,0.7436363636363635,0.0419453490254503,0.9720042317131116,0.0742542111763282,0.5235202676627991,0.8612953925055836,0.6681818181818182,0.042478320511746,0.9559397515931506,0.0541106432048384,0.1661984950413421,,0.0001743832685049,,0.9672727272727272,,0.6518181818181819,,0.7776849320904241,0.2085562323031437,0.0971700559314844,,0.1163636363636363,,0.0718181818181817,,107,9.02803738317757,3.213937642270092,0.0093457943925233,0.0265236741847406,36147.27636807637,78112.52803428262,0.5,0.0462593221336993,0.8745454545454546,0.0241665479240932,0.9901223140495868,0.1890909090909091,0.4513832811637092,0.0438940405244479,0.1109090909090909,0.3141623623354347,0.2690909090909091,0.4436890299875499,0.848181818181818,0.0397536029057154,106,2.65,0.0963636363636363,6.625,3.9136513215495663,2.717948717948718,1.2343487084868077,0.8790909090909091,0.020574842662749,0.6245454545454545,0.0381023704460603,0.9145454545454546,0.0363636363636363,0.0145454545454545,0.4,8.075117370892018,3.444162495115884,0.0643252133523989,0.097980440483522,0.0508882041289427,0.0637827815201118,0.025,0.0388983757013051,0.6045454545454546,0.0183076454145372
hf_neural-policy-decomp_mnist_3_vs_6,data/clean_data/hf_neural-policy-decomp_mnist_3_vs_6_clean.csv,clean,0.0,0,0.8431129005377052,0.0194591559011367,0.9998783322990062,0.0003372681281618,0.424871096393453,0.8301584873227784,0.7616242555020483,0.0180624804495973,,,0.0133334634237083,,,,0.933598659405111,,0.0,,0.7826933851406042,0.2436574776374707,0.0,,0.0,,0.0008378718056137,,103,8.854368932038835,3.612092346197241,0.0097087378640776,0.0512691607514696,79912.90141492496,248798.0158989984,0.5,0.0343255719022595,0.995393103690254,0.0025709111689112,0.9763754023724024,0.0259740259740259,0.4021701834858924,0.0439981496437032,0.0127775450356095,0.1123250738674264,0.2316715542521994,0.4219444729786116,0.8429058884415322,0.0217437282436112,102,0.19921875,0.0213657310431504,5.666666666666667,4.702940256778043,1.3421052631578947,0.6643820503083521,0.9838675298018474,0.0065654179722354,0.5071213038253379,0.0018311924553384,0.6273565144532887,0.1072475911185588,0.011101801424382,0.103515625,7.902439024390244,3.818202521159306,0.0595312540543813,0.0976154068334484,0.0554078481729748,0.0568477942718219,0.001953125,0.0234300490352167,0.6971062165030745,0.0175625308303803
f0080_i048_r006_n1300_sep1.2_1,data/clean_data/f0080_i048_r006_n1300_sep1.2_1.csv,clean,0.0,0,0.7015384615384616,0.0194601702164208,0.902700585096996,0.232942140879472,0.6244990827155387,0.8572096879256232,0.6076923076923076,0.0461538461538461,0.984988086641532,0.0236327359468638,0.1278600287700212,,1.6824306551959495e-06,,0.9784615384615384,,0.5953846153846154,,0.75436600466702,0.1959910241481595,0.0945839696225411,,0.0723076923076923,,0.0807692307692308,,124,10.07258064516129,3.865993886865431,0.0080645161290322,0.0233167615737866,291317.90450402704,992909.1225353826,0.5,0.0114049480836539,0.9069230769230768,0.0270023253680015,0.9943615384615384,0.2569230769230769,0.4848147058311593,0.0170619027450509,0.1646153846153846,0.3709757722919956,0.2353846153846154,0.4244022266147847,0.8807692307692306,0.0238475323560747,123,1.5375,0.0946153846153846,6.15,4.826189517948699,1.8636363636363635,0.9263055424869044,0.8353846153846153,0.0192563931851472,0.676923076923077,0.0130744090092122,1.0,0.0615384615384615,0.0453846153846153,0.7375,9.117408906882591,4.056308517285146,0.0482157109265406,0.0786357682911477,0.040128969377087,0.0695157921973993,0.0125,0.0158150675600192,0.6815384615384616,0.0064867234054735
openml_mu284_n284_f10,data/clean_data/openml_mu284_n284_f10.csv,clean,0.0,0,0.9508620689655172,0.1036117801105264,1.0,0.0,0.3699607667236573,0.8307121883242921,0.9508620689655172,0.1036117801105264,0.8445132394024701,0.2455004973151383,0.0641073765927696,,0.0,,0.0,,0.0,,0.7191018807179684,0.3241516391415166,0.002551828233567,,0.0105633802816901,,0.0070422535211267,,2,1.0,0.0,0.5,0.0,4.0,0.0,0.5,0.0,0.9516009852216748,0.129213284917442,0.8654780797460822,0.0950704225352112,0.2185933326432855,0.1218959408928192,0.0387323943661971,0.1932970732392724,0.0316901408450704,0.1754830660630585,0.7860837438423646,0.1959414692301116,1,0.1,0.0035211267605633,1.0,,1.0,,0.9017241379310346,0.133168016128197,0.5246305418719213,0.1064161034221323,0.1619718309859155,0.0352112676056338,0.0140845070422535,0.4,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.1,0.3162277660168379,0.5917487684729064,0.1317871458743186
hf_steward768320_tomato-leaf-disease-image_3_vs_6,data/clean_data/hf_steward768320_tomato-leaf-disease-image_3_vs_6_clean.csv,clean,0.0,0,0.7593125119024948,0.0178608023858567,0.9977975271251208,0.0060848739815249,0.4505886596198687,0.8563737281825402,0.6527709007808037,0.0352482347507461,0.972122304537964,0.0433476843186519,0.043630559272153,,0.0,,0.9301014656144306,,0.0,,0.7930372718272695,0.2469733810887059,0.0,,0.0,,0.0293122886133032,,108,8.601851851851851,3.066063306937101,0.0092592592592592,0.0371556717250782,29157.462448662456,60142.55449427101,0.5,0.0261891400439462,0.9182631879641974,0.0243876204489412,0.9900663345912204,0.2113866967305524,0.4470494597368308,0.0561987673597448,0.1279594137542277,0.3341388010102198,0.2626832018038331,0.4402158292115873,0.747968640893798,0.0302332627802932,107,0.208984375,0.0603156708004509,7.133333333333334,4.969430359230131,1.0918367346938775,0.3822541577417797,0.8867072938487907,0.0263121621187187,0.5298578048625658,0.0347212656926424,0.882750845546787,0.2886133032694475,0.0715896279594137,0.248046875,7.646511627906976,3.313195709851751,0.0699408677278337,0.1001081999626104,0.0533633761935763,0.0555816666705473,0.001953125,0.0155347015387521,0.533215895385006,0.0344475915595705
openml_ap_ovary_kidney_n458_f423,data/clean_data/openml_ap_ovary_kidney_n458_f423.csv,clean,0.0,0,0.9322222222222224,0.0263599264868348,0.9867403772603482,0.0359911613797235,0.4915741382595335,0.8447153927742157,0.8820772946859904,0.0328055725475603,0.9976195150794576,0.0327638769136648,0.0002125250872336,,1.850442169143881e-55,,0.5829694323144105,,0.0,,0.7067837276516029,0.3057363841854659,0.0,,0.0,,0.0,,18,5.277777777777778,2.164025539578429,0.0555555555555555,0.1498014330967678,258.768253968254,313.71558630225707,0.5,0.0785674201318386,0.5591787439613526,0.0604820499671042,0.995657024084209,0.5698689956331878,0.4987093591209061,0.0415534451751677,0.5676855895196506,0.4959391919493341,0.2336244541484716,0.4235986896863214,0.7727053140096618,0.0682379381323878,17,0.0401891252955082,0.037117903930131,1.8888888888888888,0.927960727138337,1.0,0.0,0.569951690821256,0.0152338688490838,0.5633816425120772,0.0155355722588251,0.9978165938864628,0.9235807860262008,0.8755458515283843,0.9479905437352246,4.457142857142857,2.355754620484225,0.0974085642815624,0.1584682431097857,0.193359375,0.1480742459274579,0.0023640661938534,0.0366718374600039,0.5983091787439614,0.0263915833422491
hf_fphool_usps_4_vs_7,data/clean_data/hf_fphool_usps_4_vs_7_clean.csv,clean,0.0,0,0.8492184845395855,0.0289373116046264,0.9998956745351292,0.0002892028098876,0.4237201390959785,0.8332853667728783,0.7945633707101597,0.1307899739010158,,,0.0063063567718412,,,,0.730804810360777,,0.0,,0.772636769768555,0.2590019979573693,0.0,,0.0,,0.0,,43,6.441860465116279,2.2918315152628828,0.0232558139534883,0.0793242547053891,1778.4311688311689,3507.175491746176,0.5,0.049333031245573,0.9888973836221542,0.0113837208806913,0.9468637067299012,0.0740055504162812,0.3916645402464769,0.0633896369223483,0.0388529139685476,0.1933337586521207,0.2238667900092507,0.4170267741846032,0.941700645599728,0.0243553564578731,42,0.08203125,0.0388529139685476,3.5,2.969542358374741,1.05,0.2207214278631522,0.9528202514441046,0.0215853235678575,0.6854315324498811,0.0333453706571046,0.5864939870490287,0.4736355226641998,0.0471785383903792,0.099609375,5.529411764705882,2.570844938435416,0.0979307488132759,0.1369320465017105,0.1134742914244186,0.0785174107413261,0.001953125,0.0233473278910994,0.628100577641862,0.0450705354244587
